# File Name: /shared/data/ui/current_run/Untitled_2023-12-01-135038_20231201_135140.eds
# Comment: 
# Operator: Dongjun H.
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778620070344
# Instrument Serial Number: 2778620070344
# Heated Cover Serial Number: 2779320060447
# Block Serial Number: 2778320050408
# Run Start Date/Time: 2023-12-01 01:51:55 PM PST
# Run End Date/Time: 2023-12-01 03:34:27 PM PST
# Run Duration: 102 minutes 32 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: NONE
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-12-01 03:35:35 PM PST
# Exported On: 2023-12-01 03:35:40 PM PST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"25","B1","false","110","SCN5A","UNKNOWN","SYBR","None","Amp","2.6618955760098477","","","28.129854719856908","0.988907368436306","28.157134671841686","0.41375881984838747","true","14129.579076723134","true","3","22","84.16192626953125","","",""
"26","B2","false","110","SCN5A","UNKNOWN","SYBR","None","Amp","2.67575713825148","","","27.757690861941946","0.9893722530777342","28.157134671841686","0.41375881984838747","true","14129.579076723134","true","3","21","84.25309753417969","","",""
"27","B3","false","110","SCN5A","UNKNOWN","SYBR","None","Amp","2.6557827522837343","","","28.583858433726206","0.9901811966639306","28.157134671841686","0.41375881984838747","true","14129.579076723134","true","3","21","84.16192626953125","","",""
"28","B4","false","110","ATP2A2","UNKNOWN","SYBR","None","Amp","2.6974661536311544","","","20.859517631800472","0.9861818950229063","20.57036044681652","0.35510919611531416","true","14388.314446304512","true","3","15","81.60902404785156","","",""
"29","B5","false","110","ATP2A2","UNKNOWN","SYBR","None","Amp","2.7271954377760155","","","20.67756277684395","0.9322517006234341","20.57036044681652","0.35510919611531416","true","14388.314446304512","true","3","16","81.70003509521484","","",""
"30","B6","false","110","ATP2A2","UNKNOWN","SYBR","None","Amp","2.7424502139065177","","","20.174000931805132","0.8111541977434","20.57036044681652","0.35510919611531416","true","14388.314446304512","true","3","14","81.70003509521484","","",""
"31","B7","false","110","MYH7","UNKNOWN","SYBR","None","Amp","2.577047485064199","","","23.534545077101633","0.7131725789276263","23.601500690376962","0.1934051854067858","true","11800.235948122277","true","3","19","86.34996032714844","","",""
"32","B8","false","110","MYH7","UNKNOWN","SYBR","None","Amp","2.5669819319569647","","","23.450470299011982","0.7120861002149175","23.601500690376962","0.1934051854067858","true","11800.235948122277","true","3","17","86.34996032714844","","",""
"33","B9","false","110","MYH7","UNKNOWN","SYBR","None","Amp","2.5971717131055407","","","23.819486695017275","0.7174255038319448","23.601500690376962","0.1934051854067858","true","11800.235948122277","true","3","17","86.3307113647461","","",""
"34","B10","false","110","MYL2","UNKNOWN","SYBR","None","Amp","2.738032170022469","","","27.508829968469406","0.9913073948339562","27.53474340235852","0.42392621757278187","true","14856.637297205674","true","3","19","84.32635498046875","","",""
"35","B11","false","110","MYL2","UNKNOWN","SYBR","None","Amp","2.726317027522004","","","27.124368324603395","0.9906969370423068","27.53474340235852","0.42392621757278187","true","14856.637297205674","true","3","18","84.32635498046875","","",""
"36","B12","false","110","MYL2","UNKNOWN","SYBR","None","Amp","2.722710582810694","","","27.971031914002758","0.9912544900933802","27.53474340235852","0.42392621757278187","true","14856.637297205674","true","3","21","84.32635498046875","","",""
"37","B13","false","110","TNNI3","UNKNOWN","SYBR","None","Amp","2.570166160852771","","","24.94664666687887","0.99098037669557","24.72644122990569","0.3023374771268849","true","19384.55439175768","true","3","19","81.32152557373047","","",""
"38","B14","false","110","TNNI3","UNKNOWN","SYBR","None","Amp","2.5965307818307757","","","24.381732193897385","0.9878028104890008","24.72644122990569","0.3023374771268849","true","19384.55439175768","true","3","15","81.41264343261719","","",""
"39","B15","false","110","TNNI3","UNKNOWN","SYBR","None","Amp","2.577957339741992","","","24.85094482894081","0.989060137640993","24.72644122990569","0.3023374771268849","true","19384.55439175768","true","3","19","81.41264343261719","","",""
"40","B16","false","110","PPARGC1A","UNKNOWN","SYBR","None","Amp","2.6785699089978667","","","25.127073104292883","0.9250965792691686","25.048786557314262","0.458051050394553","true","15130.825383443827","true","3","18","82.68826293945312","","",""
"41","B17","false","110","PPARGC1A","UNKNOWN","SYBR","None","Amp","2.711613295724159","","","24.556637569524","0.7815893770106603","25.048786557314262","0.458051050394553","true","15130.825383443827","true","3","17","82.60686492919922","","",""
"42","B18","false","110","PPARGC1A","UNKNOWN","SYBR","None","Amp","2.665009404733791","","","25.462648998125907","0.9210184849233738","25.048786557314262","0.458051050394553","true","15130.825383443827","true","3","19","82.60686492919922","","",""
"43","B19","false","110","GAPDH","UNKNOWN","SYBR","None","Amp","2.5756175829473067","","","21.928549913150306","0.7976327977995883","22.311854349233325","0.5005900719547898","true","19948.682858316937","true","3","13","83.42725372314453","","",""
"44","B20","false","110","GAPDH","UNKNOWN","SYBR","None","Amp","2.5628734881415185","","","22.128808419295652","0.8362620868456898","22.311854349233325","0.5005900719547898","true","19948.682858316937","true","3","12","83.33609771728516","","",""
"45","B21","false","110","GAPDH","UNKNOWN","SYBR","None","Amp","2.549910109748435","","","22.878204715254014","0.9636641469452564","22.311854349233325","0.5005900719547898","true","19948.682858316937","true","3","17","83.43521118164062","","",""
"46","B22","false","110","NF2","UNKNOWN","SYBR","None","Amp","2.5288182556805183","","","22.27529539990031","0.43577235582674084","22.428625403030008","1.0094178352071546","true","5741.862861131993","true","3","18","81.97622680664062","","",""
"47","B23","false","110","NF2","UNKNOWN","SYBR","None","Amp","2.4527290712196597","","","23.505936095456313","0.7557515056372084","22.428625403030008","1.0094178352071546","true","5741.862861131993","true","3","20","81.88504028320312","","",""
"48","B24","false","110","NF2","UNKNOWN","SYBR","None","Amp","2.53277235231315","","","21.50464471373339","0.2918485372761953","22.428625403030008","1.0094178352071546","true","5741.862861131993","true","3","16","82.06741333007812","","",""
"49","C1","false","111","SCN5A","UNKNOWN","SYBR","None","Amp","2.6516984597131588","","","29.54695679172088","0.9854458378752117","29.686256062815147","0.27436482953887203","true","14129.579076723134","true","3","23","84.07075500488281","","",""
"50","C2","false","111","SCN5A","UNKNOWN","SYBR","None","Amp","2.665415071258594","","","30.00232575536375","0.9911962385121031","29.686256062815147","0.27436482953887203","true","14129.579076723134","true","3","21","84.07075500488281","","",""
"51","C3","false","111","SCN5A","UNKNOWN","SYBR","None","Amp","2.6390401578723504","","","29.509485641360804","0.9928320245873186","29.686256062815147","0.27436482953887203","true","14129.579076723134","true","3","23","83.97957611083984","","",""
"52","C4","false","111","ATP2A2","UNKNOWN","SYBR","None","Amp","2.5247431116581067","","","22.814923751292298","0.9900739503653522","21.865692609702325","0.8710141778529654","true","14388.314446304512","true","3","17","81.5178451538086","","",""
"53","C5","false","111","ATP2A2","UNKNOWN","SYBR","None","Amp","2.718349819998258","","","21.678976114796072","0.9487301688977617","21.865692609702325","0.8710141778529654","true","14388.314446304512","true","3","15","81.51768493652344","","",""
"54","C6","false","111","ATP2A2","UNKNOWN","SYBR","None","Amp","2.7012405673401663","","","21.103177963018616","0.802262337332927","21.865692609702325","0.8710141778529654","true","14388.314446304512","true","3","14","81.51768493652344","","",""
"55","C7","false","111","MYH7","UNKNOWN","SYBR","None","Amp","2.551823301376448","","","17.71181925895694","0.09430266815452579","22.267720001195972","3.948079601533186","true","11800.235948122277","true","3","12","86.1676025390625","","",""
"56","C8","false","111","MYH7","UNKNOWN","SYBR","None","Amp","2.555359942223283","","","24.687652273245824","0.7743181539446456","22.267720001195972","3.948079601533186","true","11800.235948122277","true","3","19","86.25878143310547","","",""
