"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","nlogq","attr","conv_GR"
"GO:0043548","MF","GO:0043548","Phosphatidylinositol 3-kinase binding","11/2806","28/20696",0.000647430995341474,0.0103943715964412,0.00876622501262645,"ENSG00000100100/ENSG00000145675/ENSG00000113721/ENSG00000148180/ENSG00000167601/ENSG00000168143/ENSG00000140443/ENSG00000153558/ENSG00000096968/ENSG00000185950/ENSG00000169047",11,2.05718738601062,"Up",0.00392017106200998
"GO:0030023","MF","GO:0030023","Extracellular matrix constituent conferring elasticity","6/2806","10/20696",0.000794632736120652,0.0125676813768361,0.0105991133580466,"ENSG00000138722/ENSG00000166147/ENSG00000138829/ENSG00000135862/ENSG00000132205/ENSG00000140092",6,1.97473046301948,"Up",0.00213827512473272
"GO:0019903","MF","GO:0019903","Protein phosphatase binding","38/2806","167/20696",0.000804245821896507,0.0125676813768361,0.0105991133580466,"ENSG00000172399/ENSG00000182578/ENSG00000176170/ENSG00000104783/ENSG00000170558/ENSG00000213949/ENSG00000156463/ENSG00000146648/ENSG00000145675/ENSG00000188396/ENSG00000112964/ENSG00000105976/ENSG00000075945/ENSG00000214517/ENSG00000058668/ENSG00000105767/ENSG00000162434/ENSG00000087074/ENSG00000131323/ENSG00000219607/ENSG00000153558/ENSG00000108819/ENSG00000198053/ENSG00000176915/ENSG00000131435/ENSG00000143079/ENSG00000100330/ENSG00000173801/ENSG00000179841/ENSG00000013364/ENSG00000131981/ENSG00000185950/ENSG00000090020/ENSG00000089159/ENSG00000151422/ENSG00000002330/ENSG00000108061/ENSG00000172071",38,1.97473046301948,"Up",0.0135424091233072
"GO:0038024","MF","GO:0038024","Cargo receptor activity","24/2806","91/20696",0.000839956249981111,0.0129530095391824,0.0109240847469843,"ENSG00000173391/ENSG00000144476/ENSG00000205403/ENSG00000109072/ENSG00000144648/ENSG00000179954/ENSG00000107611/ENSG00000138131/ENSG00000134013/ENSG00000168702/ENSG00000158270/ENSG00000153071/ENSG00000081479/ENSG00000214279/ENSG00000197324/ENSG00000147650/ENSG00000136960/ENSG00000135218/ENSG00000118804/ENSG00000165029/ENSG00000138760/ENSG00000168077/ENSG00000244486/ENSG00000123384",24,1.96161493934475,"Up",0.00855310049893086
"GO:0043028","MF","GO:0043028","Cysteine-type endopeptidase regulator activity involved in apoptotic process","15/2806","47/20696",0.000964791989253838,0.0144966180949423,0.0122259065844717,"ENSG00000163131/ENSG00000101197/ENSG00000023445/ENSG00000091592/ENSG00000145335/ENSG00000177189/ENSG00000103811/ENSG00000183087/ENSG00000140939/ENSG00000185088/ENSG00000167034/ENSG00000120868/ENSG00000145779/ENSG00000110330/ENSG00000002330",15,1.91271892688449,"Up",0.00534568781183179
"GO:0140303","MF","GO:0140303","Intramembrane lipid transporter activity","15/2806","47/20696",0.000964791989253838,0.0144966180949423,0.0122259065844717,"ENSG00000231213/ENSG00000144452/ENSG00000134343/ENSG00000198691/ENSG00000151572/ENSG00000085563/ENSG00000145246/ENSG00000181652/ENSG00000081923/ENSG00000062716/ENSG00000165029/ENSG00000177119/ENSG00000054793/ENSG00000112697/ENSG00000107331",15,1.91271892688449,"Up",0.00534568781183179
"GO:0005200","MF","GO:0005200","Structural constituent of cytoskeleton","30/2806","125/20696",0.00111737311103611,0.0164061841268452,0.0138363632972046,"ENSG00000169067/ENSG00000171403/ENSG00000171346/ENSG00000026025/ENSG00000143632/ENSG00000140416/ENSG00000186847/ENSG00000182253/ENSG00000171345/ENSG00000258947/ENSG00000160789/ENSG00000198947/ENSG00000137076/ENSG00000176014/ENSG00000082397/ENSG00000096696/ENSG00000167552/ENSG00000178209/ENSG00000188157/ENSG00000184009/ENSG00000162704/ENSG00000112851/ENSG00000171914/ENSG00000136279/ENSG00000066032/ENSG00000115091/ENSG00000197694/ENSG00000163466/ENSG00000118898/ENSG00000148798",30,1.85897804336916,"Up",0.0106913756236636
"GO:0019902","MF","GO:0019902","Phosphatase binding","47/2806","222/20696",0.00112558472150742,0.0164061841268452,0.0138363632972046,"ENSG00000172399/ENSG00000182578/ENSG00000176170/ENSG00000104783/ENSG00000170558/ENSG00000213949/ENSG00000156463/ENSG00000146648/ENSG00000145675/ENSG00000188396/ENSG00000112964/ENSG00000105976/ENSG00000075945/ENSG00000137501/ENSG00000214517/ENSG00000166949/ENSG00000058668/ENSG00000105767/ENSG00000101096/ENSG00000162434/ENSG00000087074/ENSG00000131323/ENSG00000219607/ENSG00000153558/ENSG00000166848/ENSG00000108819/ENSG00000198053/ENSG00000176915/ENSG00000163617/ENSG00000131435/ENSG00000143079/ENSG00000100330/ENSG00000173801/ENSG00000179841/ENSG00000013364/ENSG00000131981/ENSG00000185950/ENSG00000086015/ENSG00000090020/ENSG00000089159/ENSG00000151422/ENSG00000002330/ENSG00000108061/ENSG00000162148/ENSG00000065054/ENSG00000172071/ENSG00000110925",47,1.85897804336916,"Up",0.0167498218104063
"GO:0001223","MF","GO:0001223","Transcription coactivator binding","14/2806","43/20696",0.00113387450023418,0.0164061841268452,0.0138363632972046,"ENSG00000141448/ENSG00000107485/ENSG00000164107/ENSG00000179348/ENSG00000116016/ENSG00000106546/ENSG00000091831/ENSG00000166949/ENSG00000173039/ENSG00000126778/ENSG00000131759/ENSG00000100644/ENSG00000144560/ENSG00000059122",14,1.85897804336916,"Up",0.00498930862437634
"GO:0045295","MF","GO:0045295","Gamma-catenin binding","7/2806","14/20696",0.00119612938376817,0.0168899233467023,0.0142443308986469,"ENSG00000138795/ENSG00000170558/ENSG00000134760/ENSG00000134762/ENSG00000115266/ENSG00000151422/ENSG00000149177",7,1.84635794613319,"Up",0.00249465431218817
"GO:0071837","MF","GO:0071837","HMG box domain binding","7/2806","14/20696",0.00119612938376817,0.0168899233467023,0.0142443308986469,"ENSG00000105880/ENSG00000007372/ENSG00000107485/ENSG00000105997/ENSG00000116132/ENSG00000052850/ENSG00000122877",7,1.84635794613319,"Up",0.00249465431218817
