"","baseMean","log2FoldChange","lfcSE","pvalue","padj","hgnc_symbol"
"ENSG00000160072",852.341383358261,-0.563972326819229,0.233230195927899,0.0127448268856892,0.0276314632812863,"ATAD3B"
"ENSG00000142611",46.9369086551624,2.41921581428005,0.625524462640336,1.400133775272e-05,5.36501781849557e-05,"PRDM16"
"ENSG00000157911",726.227769662462,0.503611844789829,0.124965222310944,5.22828053492732e-05,0.000183352160866917,"PEX10"
"ENSG00000269896",20.6605572945622,0.123986603483193,0.362711841334253,0.715755879320707,0.794234541839371,"LOC100129534"
"ENSG00000228463",3.0121944928104,2.31337629921914,0.873378584301963,0.00135029093890025,0.00364761914250445,"RPL23AP21"
"ENSG00000142655",594.85552020578,0.0245999247394544,0.119203906484495,0.837745567459869,0.88537794987445,"PEX14"
"ENSG00000149527",2.20664058636379,0.351848704446877,0.901871302014675,0.474609832169017,0.582230957318862,"PLCH2"
"ENSG00000171621",544.111504839898,3.6556233355562,0.225449607329366,4.3180216016518e-60,5.7412062724003e-58,"SPSB1"
"ENSG00000173673",322.692908002503,-7.43547820618709,0.454183056347889,5.32275490428382e-62,7.66359076274233e-60,"HES3"
"ENSG00000142583",1.79460114944665,-0.402954732002111,0.797216909231135,0.460387853950025,0.568665630578143,"SLC2A5"
"ENSG00000116786",1238.52273669807,0.312026814345139,0.0842451109916809,0.000202830770658642,0.000640311312339698,"PLEKHM2"
"ENSG00000173614",72.533996370487,1.21479345299894,0.325060848160451,7.59354229832413e-05,0.000258676748097159,"NMNAT1"
"ENSG00000162592",48.7726802411716,-0.216263877033239,0.321597547262919,0.478804255943797,0.586217472863301,"CCDC27"
"ENSG00000116254",54.1052298358521,-1.70351639220192,0.416458621855287,1.02635875105512e-05,4.01544948994093e-05,"CHD5"
"ENSG00000204624",55.6127267488549,-2.59655488039531,0.315551778194248,2.29735006299298e-17,3.29493355209671e-16,"DISP3"
"ENSG00000142606",5.06970541687505,-0.805619464366337,0.587771435708289,0.103339637094683,0.169341064119188,"MMEL1"
"ENSG00000171729",174.927922529803,0.0653845864088278,0.261743540799544,0.798137282758535,0.855839097588258,"TMEM51"
"ENSG00000279457",137.923276995382,0.640058645856976,0.252106911519949,0.00861779285466588,0.0194998421283835,NA
"ENSG00000162571",3.91754083885928,-3.20401678976453,0.996355209418884,0.000149125120451453,0.000483358288428464,"TTLL10"
"ENSG00000037637",435.676443802408,0.713062678580375,0.221418082625714,0.000941812402555186,0.00261854595226589,"FBXO42"
"ENSG00000159423",546.772906609842,-1.14563591088878,0.174444327692781,2.45816358131546e-11,1.97228272564904e-10,"ALDH4A1"
"ENSG00000011021",456.299473305391,0.483590592568609,0.168841341168869,0.00369378061436728,0.00908626796398068,"CLCN6"
"ENSG00000215704",2.84963897525718,-0.0176754667176762,0.719617691013228,0.971435263611261,0.981605388511417,"CELA2B"
"ENSG00000157916",1402.16235525772,0.677659845150568,0.0827447539896205,2.04348134098069e-16,2.69636069599781e-15,"RER1"
"ENSG00000157881",31.4958811939808,-0.53125548349661,0.420916644415452,0.165855649252527,0.251524570502843,"PANK4"
"ENSG00000238290",2.48856672821467,0.562736776245325,0.97155366254236,0.282215411156137,0.386572069105332,NA
"ENSG00000048707",578.319258958963,0.206894664797928,0.185306214296573,0.256568178940971,0.358142736258058,"VPS13D"
"ENSG00000162444",29.3514268574915,-1.53284574267618,0.431238815889138,0.00013056103026761,0.000427064195904848,"RBP7"
"ENSG00000180758",68.320070518906,0.576842863194722,0.271282714514808,0.026930707935155,0.0532120895284054,"GPR157"
"ENSG00000184677",429.640227882241,0.988914526390387,0.232595178391874,1.24587224409149e-05,4.81070242717798e-05,"ZBTB40"
"ENSG00000288398",55.4824679090495,0.847389599381008,0.297280565169114,0.00292613697945364,0.00736124429815252,NA
"ENSG00000224621",0.925676684770223,0.559706792532051,1.10154538142078,0.18946296416378,0.280263657041954,NA
"ENSG00000285833",7.74339118849477,-3.13163511373356,0.85016769010753,2.52500022997272e-05,9.32032662791631e-05,NA
"ENSG00000131697",284.640180150251,-0.212758054853552,0.209222222938294,0.297763715947261,0.403689649234503,"NPHP4"
"ENSG00000280222",0.863609284633461,-0.569028399027773,1.21861783606726,0.212081591252718,0.307437494767679,NA
"ENSG00000233929",2.22188204379931,-0.859602955131823,0.927210256187118,0.153575175294533,0.236255553020988,NA
"ENSG00000234166",68.5013314192923,-1.0038519610249,0.701396082704365,0.0659074580312286,0.115830220982256,NA
"ENSG00000055070",1927.06862943495,0.470113620790906,0.182853275683856,0.00900585495748376,0.0202740653241212,"SZRD1"
"ENSG00000175087",67.2885589308159,0.607602636452625,0.32065754990346,0.0464356033446285,0.0856534416167199,"PDIK1L"
"ENSG00000157191",594.019560161746,1.02350182749427,0.177499354568339,4.66887866962769e-09,2.87774309674781e-08,"NECAP2"
"ENSG00000225643",1.05777860715413,0.242450050869597,0.923213526929841,0.559785521090612,0.66125790669604,NA
"ENSG00000162511",4.60466600486961,0.130977405157317,0.64662784851885,0.788098139800732,0.848565777928648,"LAPTM5"
"ENSG00000158014",13.6128570907519,-2.05713540685908,1.2452800159207,0.0104483262473274,0.0231336773156629,"SLC30A2"
"ENSG00000204138",750.215031519951,0.423359106937055,0.115816946495313,0.000233511448912816,0.000727559583771878,"PHACTR4"
"ENSG00000142675",176.642417829336,-0.229965832949107,0.640339908192895,0.641308597133259,0.733165257349978,"CNKSR1"
"ENSG00000197245",15.9846866666772,0.188317760645942,0.445313525361321,0.640397996255324,0.732445546737491,"FAM110D"
