"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000160072",852.341383358261,-0.59114844346732,0.237330749882112,-2.49082111677883,0.0127448268856892,0.0276314632812863,"ATAD3B"
"ENSG00000142611",46.9369086551624,2.64497643349797,0.608902793264983,4.34384020364796,1.400133775272e-05,5.36501781849557e-05,"PRDM16"
"ENSG00000157911",726.227769662462,0.508019326374432,0.125586315625,4.04518059030711,5.22828053492732e-05,0.000183352160866917,"PEX10"
"ENSG00000269896",20.6605572945622,0.14107938796968,0.387435159059927,0.364136771458727,0.715755879320707,0.794234541839371,"LOC100129534"
"ENSG00000228463",3.0121944928104,2.76146253240218,0.861591645276958,3.20507115817553,0.00135029093890025,0.00364761914250445,"RPL23AP21"
"ENSG00000142655",594.85552020578,0.0245869943036777,0.120066574325106,0.204778011214871,0.837745567459869,0.88537794987445,"PEX14"
"ENSG00000149527",2.20664058636379,1.0838652098106,1.51589810510358,0.714998723305708,0.474609832169017,0.582230957318862,"PLCH2"
"ENSG00000171621",544.111504839898,3.67927357210903,0.225025873307281,16.3504468087758,4.3180216016518e-60,5.7412062724003e-58,"SPSB1"
"ENSG00000173673",322.692908002503,-7.48979390542804,0.450753367972297,-16.6161684806055,5.32275490428382e-62,7.66359076274233e-60,"HES3"
"ENSG00000142583",1.79460114944665,-0.812047013307296,1.10002416154763,-0.738208342773871,0.460387853950025,0.568665630578143,"SLC2A5"
"ENSG00000116786",1238.52273669807,0.313963596145448,0.0845018433464813,3.71546446458107,0.000202830770658642,0.000640311312339698,"PLEKHM2"
"ENSG00000173614",72.533996370487,1.28768371556493,0.325429150134186,3.95687883225572,7.59354229832413e-05,0.000258676748097159,"NMNAT1"
"ENSG00000162592",48.7726802411716,-0.240104008764295,0.339021223120028,-0.708227073675821,0.478804255943797,0.586217472863301,"CCDC27"
"ENSG00000116254",54.1052298358521,-1.82181971572933,0.41296641886105,-4.41154445621478,1.02635875105512e-05,4.01544948994093e-05,"CHD5"
"ENSG00000204624",55.6127267488549,-2.65505260014236,0.313181623762945,-8.47767684528014,2.29735006299298e-17,3.29493355209671e-16,"DISP3"
"ENSG00000142606",5.06970541687505,-1.04232058636999,0.63990241777159,-1.62887427429918,0.103339637094683,0.169341064119188,"MMEL1"
"ENSG00000171729",174.927922529803,0.0693746421340662,0.271250530794567,0.255758548862002,0.798137282758535,0.855839097588258,"TMEM51"
"ENSG00000279457",137.923276995382,0.673698511655058,0.256465770215581,2.62685547115609,0.00861779285466588,0.0194998421283835,NA
"ENSG00000162571",3.91754083885928,-3.557157348674,0.937939841350435,-3.79252185678822,0.000149125120451453,0.000483358288428464,"TTLL10"
"ENSG00000037637",435.676443802408,0.740247585989572,0.223818562787432,3.30735564007982,0.000941812402555186,0.00261854595226589,"FBXO42"
"ENSG00000159423",546.772906609842,-1.16654119817694,0.174740678885806,-6.67584220008258,2.45816358131546e-11,1.97228272564904e-10,"ALDH4A1"
"ENSG00000011021",456.299473305391,0.49547000215923,0.170663775121627,2.90319373168748,0.00369378061436728,0.00908626796398068,"CLCN6"
"ENSG00000215704",2.84963897525718,-0.0368716488688983,1.02969735540648,-0.0358082388726181,0.971435263611261,0.981605388511417,"CELA2B"
"ENSG00000157916",1402.16235525772,0.681326148456451,0.0828914038739682,8.21950306804274,2.04348134098069e-16,2.69636069599781e-15,"RER1"
"ENSG00000157881",31.4958811939808,-0.622061179221837,0.448932914324453,-1.38564395564069,0.165855649252527,0.251524570502843,"PANK4"
"ENSG00000238290",2.48856672821467,1.56669033451557,1.45690400036854,1.07535591509067,0.282215411156137,0.386572069105332,NA
"ENSG00000048707",578.319258958963,0.213457079704303,0.188144193169188,1.13453982346589,0.256568178940971,0.358142736258058,"VPS13D"
"ENSG00000162444",29.3514268574915,-1.66157100110756,0.4343524618308,-3.82539791326154,0.00013056103026761,0.000427064195904848,"RBP7"
"ENSG00000180758",68.320070518906,0.613154807939795,0.277129524500499,2.21252069423115,0.026930707935155,0.0532120895284054,"GPR157"
"ENSG00000184677",429.640227882241,1.02340408895671,0.234220628995402,4.36940201785901,1.24587224409149e-05,4.81070242717798e-05,"ZBTB40"
"ENSG00000288398",55.4824679090495,0.902059691607281,0.30317332293838,2.97539269901602,0.00292613697945364,0.00736124429815252,NA
"ENSG00000224621",0.925676684770223,2.59214299516333,1.97546359391274,1.31216945893149,0.18946296416378,0.280263657041954,NA
"ENSG00000285833",7.74339118849477,-3.46691599938878,0.8229963376086,-4.21255337473637,2.52500022997272e-05,9.32032662791631e-05,NA
"ENSG00000131697",284.640180150251,-0.222267303521668,0.213463843187543,-1.04124099052405,0.297763715947261,0.403689649234503,"NPHP4"
"ENSG00000280222",0.863609284633461,-2.9183664468389,2.33869321991379,-1.24786202054602,0.212081591252718,0.307437494767679,NA
"ENSG00000233929",2.22188204379931,-1.5511731848412,1.08700447602583,-1.42701637302582,0.153575175294533,0.236255553020988,NA
"ENSG00000234166",68.5013314192923,-1.36373775347996,0.741543659400613,-1.83905254423222,0.0659074580312286,0.115830220982256,NA
"ENSG00000055070",1927.06862943495,0.48328882327598,0.185038264278109,2.61183180225689,0.00900585495748376,0.0202740653241212,"SZRD1"
"ENSG00000175087",67.2885589308159,0.661108576962269,0.331979798082371,1.99141207019541,0.0464356033446285,0.0856534416167199,"PDIK1L"
"ENSG00000157191",594.019560161746,1.04395834427844,0.178193567442711,5.85856357926094,4.66887866962769e-09,2.87774309674781e-08,"NECAP2"
